Year,Month,ProvinceID,ProvinceName,Tmax,Tmin
2018,4,91,????,37.1,22.7
2018,4,92,????,36.9,23.2
2018,4,93,??????,35.7,23.6
2018,4,94,???????,36.2,22.7
2018,4,95,????,36.2,21.6
2018,4,96,????????,34.3,20.5
2018,5,10,?????????????,36.7,22.9
2018,5,11,???????????,33.4,25
2018,5,13,????????,37.7,24.2
2018,5,14,???????????????,37.5,22.5
2018,5,16,??????,37.4,23.2
2018,5,18,??????,37.4,23.5
2018,5,20,??????,36.8,22.4
2018,5,21,?????,34.8,23.8
2018,5,22,????????,35.4,23
2018,5,23,????,34.5,23.3
2018,5,24,??????????,36.5,22.3
2018,5,25,??????????,37.6,23.6
2018,5,27,???????,36.8,24.2
2018,5,30,??????????,37.1,21.6
2018,5,31,?????????,37.5,22.1
2018,5,32,????????,38.8,23.5
2018,5,33,????????,37.6,23.8
2018,5,34,???????????,37.5,22.2
2018,5,36,???????,36.2,22.6
2018,5,40,???????,37.1,22.5
2018,5,41,????????,36.9,22.7
2018,5,42,???,35.3,22
2018,5,43,???????,37,22.5
2018,5,44,?????????,37.7,22.8
2018,5,45,????????,37,23.8
2018,5,46,?????????,37,23.1
2018,5,47,??????,36.1,23.4
2018,5,48,??????,36.8,22.7
2018,5,49,????????,36.6,23
2018,5,50,?????????,38,15
2018,5,51,?????,38,22
2018,5,52,?????,38.6,21.4
2018,5,53,?????????,38.6,22.6
2018,5,54,????,36.8,22.2
2018,5,55,????,37.8,19.2
2018,5,56,?????,36.4,21
2018,5,57,????????,36.1,20.9
2018,5,58,??????????,39.2,19.3
2018,5,60,?????????,38.3,23.7
2018,5,62,?????????,38.1,22.9
2018,5,63,???,40,18.8
2018,5,64,???????,37.5,23
2018,5,65,????????,37.7,23
2018,5,66,??????,37.3,23.5
2018,5,67,?????????,38,22
2018,5,70,???????,36.6,24.2
2018,5,71,?????????,38.2,22.4
2018,5,72,??????????,37.6,23.5
2018,5,73,??????,37,23.3
2018,5,76,????????,36.8,24.3
2018,5,77,???????????????,37,22.5
2018,5,80,?????????????,36.5,22.5
2018,5,81,??????,36,23
2018,5,82,?????,33.5,23.2
2018,5,83,??????,35.3,20
2018,5,84,????????????,36.5,22.2
2018,5,85,?????,35,24
2018,5,86,?????,35.8,22.7
2018,5,90,?????,36,22.5
2018,5,91,????,35.6,22.7
2018,5,92,????,35.6,23.5
2018,5,93,??????,35,23.9
2018,5,94,???????,35.3,22.7
2018,5,95,????,35.6,22.4
2018,5,96,????????,34.2,21
2018,6,10,?????????????,37.3,24.2
2018,6,11,???????????,33.1,25
2018,6,13,????????,38.2,24.4
2018,6,14,???????????????,36.5,22
2018,6,16,??????,36.4,24.3
2018,6,18,??????,36,24
2018,6,20,??????,36.8,21
2018,6,21,?????,35.1,24.2
2018,6,22,????????,35.4,21.8
2018,6,23,????,33.5,22.5
2018,6,24,??????????,34.3,23.4
2018,6,25,??????????,36,23.4
2018,6,27,???????,35.7,24.2
2018,6,30,??????????,36.1,21.8
2018,6,31,?????????,36.7,23.3
2018,6,32,????????,35.7,24
2018,6,33,????????,35.5,22.6
2018,6,34,???????????,35.4,22.4
2018,6,36,???????,35.5,23.3
2018,6,40,???????,35.5,21.9
2018,6,41,????????,35.6,22.9
2018,6,42,???,35.3,22.6
2018,6,43,???????,36.5,22.8
2018,6,44,?????????,37.2,22.7
2018,6,45,????????,35.7,23
2018,6,46,?????????,35.5,22.6
2018,6,47,??????,34.9,22.6
2018,6,48,??????,35.4,22.5
2018,6,49,????????,35.3,22.6
2018,6,50,?????????,36,16.5
2018,6,51,?????,36,23.4
2018,6,52,?????,36.9,22.5
2018,6,53,?????????,38.5,23.8
2018,6,54,????,37,23.1
2018,6,55,????,37.2,21.4
2018,6,56,?????,35.5,22.5
2018,6,57,????????,35.6,22.4
2018,6,58,??????????,38.7,21.3
2018,6,60,?????????,36.6,22.9
2018,6,62,?????????,36.2,23.8
2018,6,63,???,36.9,19.2
2018,6,64,???????,37,24.2
2018,6,65,????????,36,23.8
2018,6,66,??????,35.5,23.3
2018,6,67,?????????,36.6,22.3
2018,6,70,???????,35.1,23.8
2018,6,71,?????????,36.9,23.2
2018,6,72,??????????,37.2,24
2018,6,73,??????,35.8,24.2
2018,6,76,????????,36.6,24.8
2018,6,77,???????????????,37,22.4
2018,6,80,?????????????,36.5,23
2018,6,81,??????,34.5,22.1
2018,6,82,?????,33.6,23.3
2018,6,83,??????,35.4,20.7
2018,6,84,????????????,36,22.6
2018,6,85,?????,34,23.4
2018,6,86,?????,35.5,23
2018,6,90,?????,35.6,22.1
2018,6,91,????,34.5,22.7
2018,6,92,????,35.4,22.8
2018,6,93,??????,35.3,23.6
2018,6,94,???????,35.9,22.9
2018,6,95,????,36.9,22.8
2018,6,96,????????,35.4,20
2018,7,10,?????????????,35.5,24.4
2018,7,11,???????????,32,26
2018,7,13,????????,36.3,24.5
2018,7,14,???????????????,35,22.5
2018,7,16,??????,36,22.8
2018,7,18,??????,36,23.8
2018,7,20,??????,37.7,23
2018,7,21,?????,33.7,23.3
2018,7,22,????????,33.1,21.5
2018,7,23,????,32.8,22.5
2018,7,24,??????????,34.7,23
2018,7,25,??????????,35,23.3
2018,7,27,???????,35.6,23.6
2018,7,30,??????????,35.9,22.6
2018,7,31,?????????,36.2,23.3
2018,7,32,????????,35.1,23.6
2018,7,33,????????,34.8,23.4
2018,7,34,???????????,35.7,23.4
2018,7,36,???????,35.3,22.9
2018,7,40,???????,35.4,23.4
2018,7,41,????????,35.3,24
2018,7,42,???,35.3,23.1
2018,7,43,???????,35.6,23.7
2018,7,44,?????????,35.5,23.6
2018,7,45,????????,35.5,23.4
2018,7,46,?????????,35,23.3
2018,7,47,??????,34.9,22.7
2018,7,48,??????,34.7,23
2018,7,49,????????,35.4,23
2018,7,50,?????????,35.3,17
2018,7,51,?????,35.6,23.4
2018,7,52,?????,35.8,22.5
2018,7,53,?????????,36.5,24.5
2018,7,54,????,35.1,23.5
2018,7,55,????,37.5,22.7
2018,7,56,?????,34.5,20.8
2018,7,57,????????,35.1,23.3
2018,7,58,??????????,34.5,21.5
2018,7,60,?????????,35,23.4
2018,7,62,?????????,34.5,24.4
2018,7,63,???,35,18.8
2018,7,64,???????,35.8,24
2018,7,65,????????,35,23.6
2018,7,66,??????,35,23.5
2018,7,67,?????????,35.7,21.8
2018,7,70,???????,35.4,24
2018,7,71,?????????,35.5,23.1
2018,7,72,??????????,35.7,24
2018,7,73,??????,36.6,24
2018,7,76,????????,36.9,24.5
2018,7,77,???????????????,36.9,22.7
2018,7,80,?????????????,36,22.5
2018,7,81,??????,34.5,22.2
2018,7,82,?????,32,23.2
2018,7,83,??????,34.8,20.4
2018,7,84,????????????,35.5,22.3
2018,7,85,?????,32,23
2018,7,86,?????,33.8,23.2
2018,7,90,?????,35.8,22.1
2018,7,91,????,34.3,22.7
2018,7,92,????,34.6,22.9
2018,7,93,??????,35.2,23.6
2018,7,94,???????,35.5,23.5
2018,7,95,????,36.6,22.8
2018,7,96,????????,36.7,19.5
2018,8,10,?????????????,34.1,23.9
2018,8,11,???????????,31,26.3
2018,8,13,????????,36.8,24
2018,8,14,???????????????,34.7,22
2018,8,16,??????,35.1,23.2
2018,8,18,??????,36,24
2018,8,20,??????,34.5,23.9
2018,8,21,?????,32.9,24.2
2018,8,22,????????,32.4,21.8
2018,8,23,????,32,23
2018,8,24,??????????,33.6,23.2
2018,8,25,??????????,34.7,23.5
2018,8,27,???????,34.5,23.2
2018,8,30,??????????,35.2,21.8
2018,8,31,?????????,35.5,23
2018,8,32,????????,34.3,23
2018,8,33,????????,33.1,22.9
2018,8,34,???????????,34.1,23.2
2018,8,36,???????,33.9,22.2
2018,8,40,???????,34.7,23.3
2018,8,41,????????,34.4,23.8
2018,8,42,???,34,23.3
2018,8,43,???????,34.7,23.3
2018,8,44,?????????,35.3,23.6
2018,8,45,????????,34.3,23.3
2018,8,46,?????????,33.4,22.8
2018,8,47,??????,34,23
2018,8,48,??????,34,22.9
2018,8,49,????????,34,23.3
2018,8,50,?????????,34.1,17.2
2018,8,51,?????,34.5,23
2018,8,52,?????,35.5,22.5
2018,8,53,?????????,37,24.2
2018,8,54,????,34.9,23.5
2018,8,55,????,35,22.7
2018,8,56,?????,34,22.5
2018,8,57,????????,33.3,23.3
2018,8,58,??????????,33.5,22.5
2018,8,60,?????????,35.1,22.8
2018,8,62,?????????,34.3,23.1
2018,8,63,???,34,18.3
2018,8,64,???????,35.5,23.6
2018,8,65,????????,35,23.5
2018,8,66,??????,33.8,23.5
2018,8,67,?????????,34.5,22.4
2018,8,70,???????,35.2,23.9
2018,8,71,?????????,36.8,21.6
2018,8,72,??????????,36.5,23.8
2018,8,73,??????,35.8,23.5
2018,8,76,????????,35.8,24.5
2018,8,77,???????????????,36.1,22.2
2018,8,80,?????????????,36,22.5
2018,8,81,??????,33.1,22.3
2018,8,82,?????,32.8,23.5
2018,8,83,??????,35.6,22.1
2018,8,84,????????????,36,22.3
2018,8,85,?????,32.3,23.5
2018,8,86,?????,33.6,23
2018,8,90,?????,36.3,22.1
2018,8,91,????,34,22
2018,8,92,????,35,23.7
2018,8,93,??????,36.5,23.5
2018,8,94,???????,36.2,23.3
2018,8,95,????,37.5,22.4
2018,8,96,????????,36.8,20.3
2018,9,10,?????????????,36,23
2018,9,11,???????????,32.7,23.1
2018,9,13,????????,38,23.6
2018,9,14,???????????????,36.1,22.5
2018,9,16,??????,36,23.2
2018,9,18,??????,36.3,23.8
2018,9,20,??????,38.1,21.1
2018,9,21,?????,34.1,22.6
2018,9,22,????????,34.3,22
2018,9,23,????,33.7,22.3
2018,9,24,??????????,35,22.3
2018,9,25,??????????,36.4,23.7
2018,9,27,???????,35.8,23.3
2018,9,30,??????????,36.2,20.7
2018,9,31,?????????,36.1,21.7
2018,9,32,????????,35.9,22.9
2018,9,33,????????,35.4,22.5
2018,9,34,???????????,35.5,22
2018,9,36,???????,35.5,22.2
2018,9,40,???????,36.5,21.9
2018,9,41,????????,35.8,23.2
2018,9,42,???,34.9,22
2018,9,43,???????,36.7,22.6
2018,9,44,?????????,36.2,22.5
2018,9,45,????????,35.6,22.7
2018,9,46,?????????,34.9,23.3
2018,9,47,??????,35,23.4
2018,9,48,??????,34.8,22.7
2018,9,49,????????,36.1,21.6
2018,9,50,?????????,36.5,16.8
2018,9,51,?????,36.7,23
2018,9,52,?????,37,21.5
2018,9,53,?????????,37.1,23.7
2018,9,54,????,36.6,23
2018,9,55,????,36.9,21.5
2018,9,56,?????,34.4,21
2018,9,57,????????,35.9,22.2
2018,9,58,??????????,36,22.2
2018,9,60,?????????,36.2,23.5
2018,9,62,?????????,37.2,23.2
2018,9,63,???,37.8,17.5
2018,9,64,???????,37.7,23.3
2018,9,65,????????,36.5,23.5
2018,9,66,??????,36,23.2
2018,9,67,?????????,36,22
2018,9,70,???????,36.6,23.4
2018,9,71,?????????,36.5,21.5
2018,9,72,??????????,37.3,23.5
2018,9,73,??????,36,23
2018,9,76,????????,37.4,24.3
2018,9,77,???????????????,35.7,21.7
2018,9,80,?????????????,37,22.8
2018,9,81,??????,34.3,21.8
2018,9,82,?????,33.3,22.4
2018,9,83,??????,35.4,20.5
2018,9,84,????????????,36.1,22.2
2018,9,85,?????,33.5,22.4
2018,9,86,?????,34.8,22.5
2018,9,90,?????,35.2,21.5
2018,9,91,????,34.1,22
2018,9,92,????,35.3,22.8
2018,9,93,??????,35.8,22.9
2018,9,94,???????,35,22.5
2018,9,95,????,35.1,22
2018,9,96,????????,35,22
2018,10,10,?????????????,35.7,21.5
2018,10,11,???????????,33.5,21.9
2018,10,13,????????,37.7,22.5
2018,10,14,???????????????,36,20.7
2018,10,16,??????,36.2,20.5
2018,10,18,??????,36.2,21
2018,10,20,??????,38.7,20.4
2018,10,21,?????,34.3,23
2018,10,22,????????,35.5,22.5
2018,10,23,????,34,22.3
2018,10,24,??????????,35,20.2
2018,10,25,??????????,35.9,21.2
2018,10,27,???????,39.7,21.7
2018,10,30,??????????,36.5,19.7
2018,10,31,?????????,35.9,18.8
2018,10,32,????????,35.7,19.6
2018,10,33,????????,35.3,20.2
2018,10,34,???????????,35.9,19.5
2018,10,36,???????,35.7,21.1
2018,10,40,???????,36.2,17.4
2018,10,41,????????,36,18.8
2018,10,42,???,36.5,18.1
2018,10,43,???????,36.4,20
2018,10,44,?????????,36.4,19.5
2018,10,45,????????,35.3,19.2
2018,10,46,?????????,35.3,20.3
2018,10,47,??????,35.1,18.4
2018,10,48,??????,35.3,18.8
2018,10,49,????????,36,19.3
2018,10,50,?????????,35.6,14.5
2018,10,51,?????,35.6,22.5
2018,10,52,?????,36.3,20.9
2018,10,53,?????????,36.6,22.3
2018,10,54,????,35.8,20.5
2018,10,55,????,36.5,18.8
2018,10,56,?????,33.8,20.5
2018,10,57,????????,33.5,21.1
2018,10,58,??????????,36.5,20.4
2018,10,60,?????????,37.3,20.9
2018,10,62,?????????,36.7,22.8
2018,10,63,???,43.5,16.9
2018,10,64,???????,36,22.6
2018,10,65,????????,36.2,22
2018,10,66,??????,35.6,22
2018,10,67,?????????,36.8,20
2018,10,70,???????,35,24
2018,10,71,?????????,36.4,21
2018,10,72,??????????,36.4,21.5
2018,10,73,??????,35.3,23.5
2018,10,76,????????,35.9,23.5
2018,10,77,???????????????,35.7,22.3
2018,10,80,?????????????,36,23
2018,10,81,??????,34.1,22.2
2018,10,82,?????,34.1,22
2018,10,83,??????,34.7,21
2018,10,84,????????????,35.2,22.3
2018,10,85,?????,33.7,22.6
2018,10,86,?????,34.5,22.2
2018,10,90,?????,35.4,21.5
2018,10,91,????,33.9,22.8
2018,10,92,????,35.2,23.1
2018,10,93,??????,34.3,22.8
2018,10,94,???????,34.3,22.8
2018,10,95,????,35.2,22.6
2018,10,96,????????,34.2,23
2018,11,10,?????????????,36,20.7
2018,11,11,???????????,32.6,23.4
2018,11,13,????????,37.3,20.9
2018,11,14,???????????????,36,18
2018,11,16,??????,36.3,16.4
2018,11,18,??????,34.8,19.8
2018,11,20,??????,36.9,19.8
2018,11,21,?????,35.2,21.2
2018,11,22,????????,36.1,20
2018,11,23,????,35.2,20
2018,11,24,??????????,35.5,18
2018,11,25,??????????,37.2,19.2
2018,11,27,???????,36.7,20
2018,11,30,??????????,36,17
2018,11,31,?????????,36.5,17.2
2018,11,32,????????,36,18.3
2018,11,33,????????,35.4,18.6
2018,11,34,???????????,35.7,17.8
2018,11,36,???????,36.1,16.7
2018,11,40,???????,36.1,15.1
2018,11,41,????????,35.3,16
2018,11,42,???,34.6,14.5
2018,11,43,???????,35.5,18.2
2018,11,44,?????????,36.5,16.5
2018,11,45,????????,36.2,17
2018,11,46,?????????,35.5,15
2018,11,47,??????,35,16.1
2018,11,48,??????,35.4,15.4
2018,11,49,????????,35.7,16.2
2018,11,50,?????????,34.2,11.6
2018,11,51,?????,34.5,16.3
2018,11,52,?????,36.2,14.5
2018,11,53,?????????,37.4,19
2018,11,54,????,36,15.5
2018,11,55,????,35,13.4
2018,11,56,?????,33.2,14.5
2018,11,57,????????,33.2,14.1
2018,11,58,??????????,34.7,15.9
2018,11,60,?????????,36.2,17.8
2018,11,62,?????????,35.5,19.1
2018,11,63,???,35.5,12.5
2018,11,64,???????,36.1,19.5
2018,11,65,????????,35.6,19.4
2018,11,66,??????,35.8,19.5
2018,11,67,?????????,36.9,16.2
2018,11,70,???????,36.5,21
2018,11,71,?????????,36.7,16.5
2018,11,72,??????????,36.1,17.3
2018,11,73,??????,34.5,17.1
2018,11,76,????????,34.8,21.9
2018,11,77,???????????????,35.1,14.2
2018,11,80,?????????????,34.2,21
2018,11,81,??????,34.2,21.8
2018,11,82,?????,33.7,22.3
2018,11,83,??????,35,22.2
2018,11,84,????????????,34.3,21.6
2018,11,85,?????,34.1,21.5
2018,11,86,?????,33.7,20.8
2018,11,90,?????,34.1,21.4
2018,11,91,????,34.3,22.8
2018,11,92,????,34.3,22.3
2018,11,93,??????,33.3,23
2018,11,94,???????,34,22.8
2018,11,95,????,36.4,21.8
2018,11,96,????????,33,23.5
2018,12,10,?????????????,36.8,22.2
2018,12,11,???????????,34,23.5
2018,12,13,????????,37.2,22
2018,12,14,???????????????,36.8,17.9
2018,12,16,??????,36.7,17
2018,12,18,??????,35.4,19.4
2018,12,20,??????,37.5,21.1
2018,12,21,?????,35.3,21.6
2018,12,22,????????,36.4,21.7
2018,12,23,????,34.5,21.6
2018,12,24,??????????,35.5,18.7
2018,12,25,??????????,37,20.5
2018,12,27,???????,36.4,19.1
2018,12,30,??????????,35.9,17.2
2018,12,31,?????????,36.4,15.7
2018,12,32,????????,35.6,15.9
2018,12,33,????????,35,16.6
2018,12,34,???????????,36.2,16.7
2018,12,36,???????,36.1,17.3
2018,12,40,???????,37.5,15.6
2018,12,41,????????,35.2,16
2018,12,42,???,34.2,14.9
2018,12,43,???????,34.7,17
2018,12,44,?????????,36,16.2
2018,12,45,????????,35.7,15.9
2018,12,46,?????????,36,15.3
2018,12,47,??????,34.8,14.5
2018,12,48,??????,34.9,14
2018,12,49,????????,35.2,15.5
2018,12,50,?????????,33.7,12
2018,12,51,?????,34.2,14
2018,12,52,?????,35.8,13
2018,12,53,?????????,36.6,17.3
2018,12,54,????,35.6,13.9
2018,12,55,????,34.8,12
2018,12,56,?????,32.7,13.2
2018,12,57,????????,32,13.2
2018,12,58,??????????,33.9,12.9
2018,12,60,?????????,36.3,17.8
2018,12,62,?????????,36,17.1
2018,12,63,???,35.5,10.9
2018,12,64,???????,35.8,16
2018,12,65,????????,35.6,17.3
2018,12,66,??????,36,17.8
2018,12,67,?????????,36.6,17
2018,12,70,???????,35.1,21.4
2018,12,71,?????????,36.2,17.2
2018,12,72,??????????,35.9,19.5
2018,12,73,??????,34.6,18.5
2018,12,76,????????,34.5,21.4
2018,12,77,???????????????,34.7,19.6
2018,12,80,?????????????,34.5,22.3
2018,12,81,??????,34,20.5
2018,12,82,?????,34.5,22
2018,12,83,??????,35.9,21
2018,12,84,????????????,34.5,21.2
2018,12,85,?????,33.7,21.7
2018,12,86,?????,34.8,20.2
2018,12,90,?????,34.3,21.9
2018,12,91,????,34,22.4
2018,12,92,????,34.7,22.6
2018,12,93,??????,34,23.4
2018,12,94,???????,33.5,22.9
2018,12,95,????,34.5,22.5
2018,12,96,????????,33,
2019,1,10,?????????????,37.3,18.7
2019,1,11,???????????,32.2,23.9
2019,1,13,????????,36.5,20
2019,1,14,???????????????,36.5,18.5
2019,1,16,??????,35.8,16.2
2019,1,18,??????,35.2,18
2019,1,20,??????,36.8,18
2019,1,21,?????,34.1,20.2
2019,1,22,????????,35.8,18.5
2019,1,23,????,34.3,18.2
2019,1,24,??????????,35.9,15.9
2019,1,25,??????????,36.5,17
2019,1,27,???????,36,17.2
2019,1,30,??????????,34.5,15.4
2019,1,31,?????????,34.7,14.6
2019,1,32,????????,34.5,14.5
2019,1,33,????????,34.5,15.8
2019,1,34,???????????,35.5,14.8
2019,1,36,???????,34.6,16.3
2019,1,40,???????,35,14.3
2019,1,41,????????,34,14.5
2019,1,42,???,34,12.5
2019,1,43,???????,33.7,15.3
2019,1,44,?????????,34.8,15.1
2019,1,45,????????,34.3,15
2019,1,46,?????????,34.6,14
2019,1,47,??????,33.4,13.3
2019,1,48,??????,33.3,12.9
2019,1,49,????????,34,14.8
2019,1,50,?????????,32.5,10.5
2019,1,51,?????,33,14.9
2019,1,52,?????,35,14
2019,1,53,?????????,36.4,17.2
2019,1,54,????,34.6,15.6
2019,1,55,????,33.5,13
2019,1,56,?????,31.5,13.6
2019,1,57,????????,30.3,12.2
2019,1,58,??????????,34.2,12.2
2019,1,60,?????????,35.9,17.2
2019,1,62,?????????,34.7,17.6
2019,1,63,???,35.3,10.8
2019,1,64,???????,35,17.2
2019,1,65,????????,34.2,17.5
2019,1,66,??????,34.6,18.5
2019,1,67,?????????,36.1,15.8
2019,1,70,???????,34.8,18.7
2019,1,71,?????????,35.7,16
2019,1,72,??????????,35.1,16.4
2019,1,73,??????,33.5,15.7
2019,1,76,????????,33.5,20
2019,1,77,???????????????,33.5,16.5
2019,1,80,?????????????,34.3,19
2019,1,81,??????,34.5,20.2
2019,1,82,?????,35,19.5
2019,1,83,??????,35.2,21.7
2019,1,84,????????????,35.3,18.2
2019,1,85,?????,33.6,21.9
2019,1,86,?????,32.2,19.7
2019,1,90,?????,33.3,17.6
2019,1,91,????,34.7,21.5
2019,1,92,????,34,20.7
2019,1,93,??????,31.8,22
2019,1,94,???????,35,19.6
2019,1,95,????,33.6,18
2019,1,96,????????,33.2,
2019,2,10,?????????????,36.6,24.3
2019,2,11,???????????,32.2,26.1
2019,2,13,????????,38,23.5
2019,2,14,???????????????,37.5,20.7
2019,2,16,??????,38.8,19.5
2019,2,18,??????,36,21.3
2019,2,20,??????,37,22.2
2019,2,21,?????,34.5,23.4
2019,2,22,????????,35.9,22.6
2019,2,23,????,34.2,21
2019,2,24,??????????,37,20.6
2019,2,25,??????????,37.8,20.7
2019,2,27,???????,38.2,21.5
2019,2,30,??????????,38.6,18.4
2019,2,31,?????????,38.7,18.1
2019,2,32,????????,38.2,19
2019,2,33,????????,38,19.2
2019,2,34,???????????,38.4,18.3
2019,2,36,???????,38.7,20.4
2019,2,40,???????,38.5,18
2019,2,41,????????,37.5,18.2
2019,2,42,???,37.7,15.7
2019,2,43,???????,37.3,19.7
2019,2,44,?????????,38.5,19.5
2019,2,45,????????,37.8,19.7
2019,2,46,?????????,37.5,18.4
2019,2,47,??????,37,18.4
2019,2,48,??????,37.2,17.9
2019,2,49,????????,37.8,18.3
2019,2,50,?????????,36.8,13.7
2019,2,51,?????,36.5,13.8
2019,2,52,?????,39.7,12.5
2019,2,53,?????????,37.7,18
2019,2,54,????,37.4,14.2
2019,2,55,????,37.1,10.4
2019,2,56,?????,35.2,11.8
2019,2,57,????????,34.1,11.8
2019,2,58,??????????,36.6,11.8
2019,2,60,?????????,38.1,21
2019,2,62,?????????,38.3,18.5
2019,2,63,???,39.2,10
2019,2,64,???????,37.2,15.6
2019,2,65,????????,36.5,18.3
2019,2,66,??????,36.3,19.5
2019,2,67,?????????,38.4,17
2019,2,70,???????,36.1,22.4
2019,2,71,?????????,39,19.3
2019,2,72,??????????,37.8,20.4
2019,2,73,??????,37,20.5
2019,2,76,????????,36.1,23.7
2019,2,77,???????????????,36.1,20.4
2019,2,80,?????????????,36.5,19
2019,2,81,??????,37.1,20
2019,2,82,?????,35.7,20.7
2019,2,83,??????,37.1,20.5
2019,2,84,????????????,37,19.2
2019,2,85,?????,35.5,21.4
2019,2,86,?????,34,19
2019,2,90,?????,36.4,19.5
2019,2,91,????,37,21
2019,2,92,????,36.7,21.3
2019,2,93,??????,33.5,22.5
2019,2,94,???????,35.2,20.9
2019,2,95,????,35.8,19.2
2019,2,96,????????,33.2,
2019,3,10,?????????????,38.8,24.9
2019,3,11,???????????,33.3,24
2019,3,13,????????,40.3,23.8
2019,3,14,???????????????,38.4,23
2019,3,16,??????,40.6,19.1
2019,3,18,??????,40,21.8
2019,3,20,??????,38.7,21.9
2019,3,21,?????,34.6,23.7
2019,3,22,????????,35.8,21.5
2019,3,23,????,34.6,22.8
2019,3,24,??????????,39.1,20.7
2019,3,25,??????????,40.5,22
2019,3,27,???????,40.3,22.1
2019,3,30,??????????,40.3,18.5
