Date,Open,High,Low,Close,Volume,Delta,DeltaDelta,,Delta 20,DD 20,Delta 19,DD 19,Delta 18,DD 18,Delta 17,DD 17,Delta 16,DD 16,Delta 15,DD 15,Delta 14,DD 14,Delta 13,DD 13,Delta 12,DD 12,Delta 11,DD 11,Delta 10,DD 10,Delta 9,DD 9,Delta 8,DD 8,Delta 7,DD 7,Delta 6,DD 6,Delta 5,DD 5,Delta 4,DD 4,Delta 3,DD 3,Delta 2,DD 2,Delta 1,DD 1,Trend
19.05.2003 04:00:00.000 GMT+0700,1.16564,1.17353,1.16205,1.16566,1276461,1.9999999999909E-05,-0.01928,,,,,,,,,,,,,,,,,,,,,,0.00490,,0.01610,0.01120,-0.00650,-0.02260,0.01391,0.02041,-0.00055,-0.01446,0.00539,0.00594,-0.00236999999999998,-0.00775999999999999,-0.00180000000000002,0.000569999999999959,-0.0106599999999999,-0.00885999999999987,0.0192999999999999,0.0299599999999998,1
20.05.2003 04:00:00.000 GMT+0700,1.1652,1.17146,1.15998,1.17039,1278055.211,0.00519000000000003,0.00517000000000012,,,,,,,,,,,,,,,,,,,,0.00490,,0.01610,0.01120,-0.00650,-0.02260,0.01391,0.02041,-0.00055,-0.01446,0.00539,0.00594,-0.00237,-0.00776,-0.00180000000000002,0.000569999999999959,-0.0106599999999999,-0.00885999999999987,0.0192999999999999,0.0299599999999998,1.9999999999909E-05,-0.01928,1
21.05.2003 04:00:00.000 GMT+0700,1.16989,1.17437,1.1661,1.16716,1269671.4045,-0.00273000000000012,-0.00792000000000015,,,,,,,,,,,,,,,,,,0.00490,,0.01610,0.01120,-0.00650,-0.02260,0.01391,0.02041,-0.00055,-0.01446,0.00539,0.00594,-0.00237,-0.00776,-0.00180,0.00057,-0.0106599999999999,-0.00885999999999987,0.0192999999999999,0.0299599999999998,1.9999999999909E-05,-0.01928,0.00519000000000003,0.00517000000000012,-1
22.05.2003 04:00:00.000 GMT+0700,1.16654,1.17266,1.16181,1.16908,1276077.1017,0.00253999999999999,0.00527000000000011,,,,,,,,,,,,,,,,0.00490,,0.01610,0.01120,-0.00650,-0.02260,0.01391,0.02041,-0.00055,-0.01446,0.00539,0.00594,-0.00237,-0.00776,-0.00180,0.00057,-0.01066,-0.00886,0.0192999999999999,0.0299599999999998,1.9999999999909E-05,-0.01928,0.00519000000000003,0.00517000000000012,-0.00273000000000012,-0.00792000000000015,1
23.05.2003 04:00:00.000 GMT+0700,1.16877,1.18363,1.16635,1.18236,1276165.4083,0.01359,0.01105,,,,,,,,,,,,,,0.00490,,0.01610,0.01120,-0.00650,-0.02260,0.01391,0.02041,-0.00055,-0.01446,0.00539,0.00594,-0.00237,-0.00776,-0.00180,0.00057,-0.01066,-0.00886,0.01930,0.02996,1.9999999999909E-05,-0.01928,0.00519000000000003,0.00517000000000012,-0.00273000000000012,-0.00792000000000015,0.00253999999999999,0.00527000000000011,1
26.05.2003 04:00:00.000 GMT+0700,1.182,1.18744,1.17955,1.1866,1278312.8028,0.00460000000000016,-0.00898999999999983,,,,,,,,,,,,0.00490,,0.01610,0.01120,-0.00650,-0.02260,0.01391,0.02041,-0.00055,-0.01446,0.00539,0.00594,-0.00237,-0.00776,-0.00180,0.00057,-0.01066,-0.00886,0.01930,0.02996,0.00002,-0.01928,0.00519000000000003,0.00517000000000012,-0.00273000000000012,-0.00792000000000015,0.00253999999999999,0.00527000000000011,0.01359,0.01105,1
27.05.2003 04:00:00.000 GMT+0700,1.186,1.19286,1.18166,1.18258,1271915.7988,-0.00341999999999998,-0.00802000000000014,,,,,,,,,,0.0048999999999999,,0.01610,0.01120,-0.00650,-0.02260,0.01391,0.02041,-0.00055,-0.01446,0.00539,0.00594,-0.00237,-0.00776,-0.00180,0.00057,-0.01066,-0.00886,0.01930,0.02996,0.00002,-0.01928,0.00519,0.00517,-0.00273000000000012,-0.00792000000000015,0.00253999999999999,0.00527000000000011,0.01359,0.01105,0.00460000000000016,-0.00898999999999983,-1
28.05.2003 04:00:00.000 GMT+0700,1.18191,1.18439,1.17037,1.17619,1276412.4982,-0.00571999999999995,-0.00229999999999997,,,,,,,,0.0048999999999999,,0.0161,0.0112000000000001,-0.00650,-0.02260,0.01391,0.02041,-0.00055,-0.01446,0.00539,0.00594,-0.00237,-0.00776,-0.00180,0.00057,-0.01066,-0.00886,0.01930,0.02996,0.00002,-0.01928,0.00519,0.00517,-0.00273,-0.00792,0.00253999999999999,0.00527000000000011,0.01359,0.01105,0.00460000000000016,-0.00898999999999983,-0.00341999999999998,-0.00802000000000014,-1
29.05.2003 04:00:00.000 GMT+0700,1.17587,1.18998,1.16909,1.18803,1278348.9727,0.0121599999999999,0.0178799999999999,,,,,,0.0048999999999999,,0.0161,0.0112000000000001,-0.00649999999999995,-0.0226,0.01391,0.02041,-0.00055,-0.01446,0.00539,0.00594,-0.00237,-0.00776,-0.00180,0.00057,-0.01066,-0.00886,0.01930,0.02996,0.00002,-0.01928,0.00519,0.00517,-0.00273,-0.00792,0.00254,0.00527,0.01359,0.01105,0.00460000000000016,-0.00898999999999983,-0.00341999999999998,-0.00802000000000014,-0.00571999999999995,-0.00229999999999997,1
30.05.2003 04:00:00.000 GMT+0700,1.18757,1.19144,1.17419,1.17661,1272050.9962,-0.0109600000000001,-0.02312,,,,0.0048999999999999,,0.0161,0.0112000000000001,-0.00649999999999995,-0.0226,0.0139100000000001,0.02041,-0.00055,-0.01446,0.00539,0.00594,-0.00237,-0.00776,-0.00180,0.00057,-0.01066,-0.00886,0.01930,0.02996,0.00002,-0.01928,0.00519,0.00517,-0.00273,-0.00792,0.00254,0.00527,0.01359,0.01105,0.00460000000000016,-0.00898999999999983,-0.00341999999999998,-0.00802000000000014,-0.00571999999999995,-0.00229999999999997,0.0121599999999999,0.0178799999999999,-1
02.06.2003 04:00:00.000 GMT+0700,1.17079,1.17652,1.16504,1.17443,1160226.1016,0.00364000000000009,0.0146000000000002,,0.0048999999999999,,0.0161,0.0112000000000001,-0.00649999999999995,-0.0226,0.0139100000000001,0.02041,-0.000549999999999828,-0.0144599999999999,0.00539,0.00594,-0.00237,-0.00776,-0.00180,0.00057,-0.01066,-0.00886,0.01930,0.02996,0.00002,-0.01928,0.00519,0.00517,-0.00273,-0.00792,0.00254,0.00527,0.01359,0.01105,0.00460,-0.00899,-0.00341999999999998,-0.00802000000000014,-0.00571999999999995,-0.00229999999999997,0.0121599999999999,0.0178799999999999,-0.0109600000000001,-0.02312,1
03.06.2003 04:00:00.000 GMT+0700,1.17426,1.17773,1.16858,1.17361,1270931.8927,-0.000650000000000039,-0.00429000000000013,,0.0161,0.0112000000000001,-0.00649999999999995,-0.0226,0.0139100000000001,0.02041,-0.000549999999999828,-0.0144599999999999,0.00539000000000001,0.00593999999999983,-0.00237,-0.00776,-0.00180,0.00057,-0.01066,-0.00886,0.01930,0.02996,0.00002,-0.01928,0.00519,0.00517,-0.00273,-0.00792,0.00254,0.00527,0.01359,0.01105,0.00460,-0.00899,-0.00342,-0.00802,-0.00571999999999995,-0.00229999999999997,0.0121599999999999,0.0178799999999999,-0.0109600000000001,-0.02312,0.00364000000000009,0.0146000000000002,-1
04.06.2003 04:00:00.000 GMT+0700,1.17295,1.17463,1.16609,1.16615,1276120.5998,-0.00679999999999992,-0.00614999999999988,,-0.00649999999999995,-0.0226,0.0139100000000001,0.02041,-0.000549999999999828,-0.0144599999999999,0.00539000000000001,0.00593999999999983,-0.00236999999999998,-0.00775999999999999,-0.00180,0.00057,-0.01066,-0.00886,0.01930,0.02996,0.00002,-0.01928,0.00519,0.00517,-0.00273,-0.00792,0.00254,0.00527,0.01359,0.01105,0.00460,-0.00899,-0.00342,-0.00802,-0.00572,-0.00230,0.0121599999999999,0.0178799999999999,-0.0109600000000001,-0.02312,0.00364000000000009,0.0146000000000002,-0.000650000000000039,-0.00429000000000013,-1
05.06.2003 04:00:00.000 GMT+0700,1.16565,1.1885,1.16273,1.18375,1280677.8751,0.0181,0.0248999999999999,,0.0139100000000001,0.02041,-0.000549999999999828,-0.0144599999999999,0.00539000000000001,0.00593999999999983,-0.00236999999999998,-0.00775999999999999,-0.00180000000000002,0.000569999999999959,-0.01066,-0.00886,0.01930,0.02996,0.00002,-0.01928,0.00519,0.00517,-0.00273,-0.00792,0.00254,0.00527,0.01359,0.01105,0.00460,-0.00899,-0.00342,-0.00802,-0.00572,-0.00230,0.01216,0.01788,-0.0109600000000001,-0.02312,0.00364000000000009,0.0146000000000002,-0.000650000000000039,-0.00429000000000013,-0.00679999999999992,-0.00614999999999988,1
06.06.2003 04:00:00.000 GMT+0700,1.18319,1.18772,1.16829,1.16971,1279083.799,-0.0134799999999999,-0.0315799999999999,,-0.000549999999999828,-0.0144599999999999,0.00539000000000001,0.00593999999999983,-0.00236999999999998,-0.00775999999999999,-0.00180000000000002,0.000569999999999959,-0.0106599999999999,-0.00885999999999987,0.01930,0.02996,0.00002,-0.01928,0.00519,0.00517,-0.00273,-0.00792,0.00254,0.00527,0.01359,0.01105,0.00460,-0.00899,-0.00342,-0.00802,-0.00572,-0.00230,0.01216,0.01788,-0.01096,-0.02312,0.00364000000000009,0.0146000000000002,-0.000650000000000039,-0.00429000000000013,-0.00679999999999992,-0.00614999999999988,0.0181,0.0248999999999999,-1
09.06.2003 04:00:00.000 GMT+0700,1.1687,1.17846,1.16548,1.17131,1274278.3164,0.00261,0.0160899999999999,,0.00539000000000001,0.00593999999999983,-0.00236999999999998,-0.00775999999999999,-0.00180000000000002,0.000569999999999959,-0.0106599999999999,-0.00885999999999987,0.0192999999999999,0.0299599999999998,0.00002,-0.01928,0.00519,0.00517,-0.00273,-0.00792,0.00254,0.00527,0.01359,0.01105,0.00460,-0.00899,-0.00342,-0.00802,-0.00572,-0.00230,0.01216,0.01788,-0.01096,-0.02312,0.00364,0.01460,-0.000650000000000039,-0.00429000000000013,-0.00679999999999992,-0.00614999999999988,0.0181,0.0248999999999999,-0.0134799999999999,-0.0315799999999999,1
10.06.2003 04:00:00.000 GMT+0700,1.17076,1.174,1.16692,1.16729,1269463.797,-0.00347000000000008,-0.00608000000000009,,-0.00236999999999998,-0.00775999999999999,-0.00180000000000002,0.000569999999999959,-0.0106599999999999,-0.00885999999999987,0.0192999999999999,0.0299599999999998,1.9999999999909E-05,-0.01928,0.00519,0.00517,-0.00273,-0.00792,0.00254,0.00527,0.01359,0.01105,0.00460,-0.00899,-0.00342,-0.00802,-0.00572,-0.00230,0.01216,0.01788,-0.01096,-0.02312,0.00364,0.01460,-0.00065,-0.00429,-0.00679999999999992,-0.00614999999999988,0.0181,0.0248999999999999,-0.0134799999999999,-0.0315799999999999,0.00261,0.0160899999999999,-1
11.06.2003 04:00:00.000 GMT+0700,1.16676,1.17805,1.16571,1.17391,1264178.7071,0.00714999999999999,0.0106200000000001,,-0.00180000000000002,0.000569999999999959,-0.0106599999999999,-0.00885999999999987,0.0192999999999999,0.0299599999999998,1.9999999999909E-05,-0.01928,0.00519000000000003,0.00517000000000012,-0.00273,-0.00792,0.00254,0.00527,0.01359,0.01105,0.00460,-0.00899,-0.00342,-0.00802,-0.00572,-0.00230,0.01216,0.01788,-0.01096,-0.02312,0.00364,0.01460,-0.00065,-0.00429,-0.00680,-0.00615,0.0181,0.0248999999999999,-0.0134799999999999,-0.0315799999999999,0.00261,0.0160899999999999,-0.00347000000000008,-0.00608000000000009,1
12.06.2003 04:00:00.000 GMT+0700,1.17359,1.18038,1.1702,1.17608,1267150.5976,0.0024900000000001,-0.00465999999999989,,-0.0106599999999999,-0.00885999999999987,0.0192999999999999,0.0299599999999998,1.9999999999909E-05,-0.01928,0.00519000000000003,0.00517000000000012,-0.00273000000000012,-0.00792000000000015,0.00254,0.00527,0.01359,0.01105,0.00460,-0.00899,-0.00342,-0.00802,-0.00572,-0.00230,0.01216,0.01788,-0.01096,-0.02312,0.00364,0.01460,-0.00065,-0.00429,-0.00680,-0.00615,0.01810,0.02490,-0.0134799999999999,-0.0315799999999999,0.00261,0.0160899999999999,-0.00347000000000008,-0.00608000000000009,0.00714999999999999,0.0106200000000001,1
13.06.2003 04:00:00.000 GMT+0700,1.17582,1.18758,1.17338,1.186,1279678.8027,0.0101799999999999,0.00768999999999975,,0.0192999999999999,0.0299599999999998,1.9999999999909E-05,-0.01928,0.00519000000000003,0.00517000000000012,-0.00273000000000012,-0.00792000000000015,0.00253999999999999,0.00527000000000011,0.01359,0.01105,0.00460,-0.00899,-0.00342,-0.00802,-0.00572,-0.00230,0.01216,0.01788,-0.01096,-0.02312,0.00364,0.01460,-0.00065,-0.00429,-0.00680,-0.00615,0.01810,0.02490,-0.01348,-0.03158,0.00261,0.0160899999999999,-0.00347000000000008,-0.00608000000000009,0.00714999999999999,0.0106200000000001,0.0024900000000001,-0.00465999999999989,1
16.06.2003 04:00:00.000 GMT+0700,1.18624,1.19263,1.18198,1.18326,1271366.0859,-0.00297999999999998,-0.0131599999999998,,1.9999999999909E-05,-0.01928,0.00519000000000003,0.00517000000000012,-0.00273000000000012,-0.00792000000000015,0.00253999999999999,0.00527000000000011,0.01359,0.01105,0.00460,-0.00899,-0.00342,-0.00802,-0.00572,-0.00230,0.01216,0.01788,-0.01096,-0.02312,0.00364,0.01460,-0.00065,-0.00429,-0.00680,-0.00615,0.01810,0.02490,-0.01348,-0.03158,0.00261,0.01609,-0.00347000000000008,-0.00608000000000009,0.00714999999999999,0.0106200000000001,0.0024900000000001,-0.00465999999999989,0.0101799999999999,0.00768999999999975,-1
17.06.2003 04:00:00.000 GMT+0700,1.18316,1.18652,1.1767,1.17907,1265464.6114,-0.00408999999999993,-0.00110999999999994,,0.00519000000000003,0.00517000000000012,-0.00273000000000012,-0.00792000000000015,0.00253999999999999,0.00527000000000011,0.01359,0.01105,0.00460000000000016,-0.00898999999999983,-0.00342,-0.00802,-0.00572,-0.00230,0.01216,0.01788,-0.01096,-0.02312,0.00364,0.01460,-0.00065,-0.00429,-0.00680,-0.00615,0.01810,0.02490,-0.01348,-0.03158,0.00261,0.01609,-0.00347,-0.00608,0.00714999999999999,0.0106200000000001,0.0024900000000001,-0.00465999999999989,0.0101799999999999,0.00768999999999975,-0.00297999999999998,-0.0131599999999998,-1
18.06.2003 04:00:00.000 GMT+0700,1.17844,1.18016,1.16604,1.16853,1265660.5059,-0.00990999999999986,-0.00581999999999994,,-0.00273000000000012,-0.00792000000000015,0.00253999999999999,0.00527000000000011,0.01359,0.01105,0.00460000000000016,-0.00898999999999983,-0.00341999999999998,-0.00802000000000014,-0.00572,-0.00230,0.01216,0.01788,-0.01096,-0.02312,0.00364,0.01460,-0.00065,-0.00429,-0.00680,-0.00615,0.01810,0.02490,-0.01348,-0.03158,0.00261,0.01609,-0.00347,-0.00608,0.00715,0.01062,0.0024900000000001,-0.00465999999999989,0.0101799999999999,0.00768999999999975,-0.00297999999999998,-0.0131599999999998,-0.00408999999999993,-0.00110999999999994,-1
19.06.2003 04:00:00.000 GMT+0700,1.1677,1.17372,1.15826,1.17173,1266762.291,0.00402999999999998,0.0139399999999998,,0.00253999999999999,0.00527000000000011,0.01359,0.01105,0.00460000000000016,-0.00898999999999983,-0.00341999999999998,-0.00802000000000014,-0.00571999999999995,-0.00229999999999997,0.01216,0.01788,-0.01096,-0.02312,0.00364,0.01460,-0.00065,-0.00429,-0.00680,-0.00615,0.01810,0.02490,-0.01348,-0.03158,0.00261,0.01609,-0.00347,-0.00608,0.00715,0.01062,0.00249,-0.00466,0.0101799999999999,0.00768999999999975,-0.00297999999999998,-0.0131599999999998,-0.00408999999999993,-0.00110999999999994,-0.00990999999999986,-0.00581999999999994,1
20.06.2003 04:00:00.000 GMT+0700,1.1713,1.17333,1.15501,1.1601,1271527.8047,-0.0112000000000001,-0.0152300000000001,,0.01359,0.01105,0.00460000000000016,-0.00898999999999983,-0.00341999999999998,-0.00802000000000014,-0.00571999999999995,-0.00229999999999997,0.0121599999999999,0.0178799999999999,-0.01096,-0.02312,0.00364,0.01460,-0.00065,-0.00429,-0.00680,-0.00615,0.01810,0.02490,-0.01348,-0.03158,0.00261,0.01609,-0.00347,-0.00608,0.00715,0.01062,0.00249,-0.00466,0.01018,0.00769,-0.00297999999999998,-0.0131599999999998,-0.00408999999999993,-0.00110999999999994,-0.00990999999999986,-0.00581999999999994,0.00402999999999998,0.0139399999999998,-1
23.06.2003 04:00:00.000 GMT+0700,1.15955,1.16028,1.15069,1.15399,1267169.3263,-0.00556000000000001,0.00564000000000009,,0.00460000000000016,-0.00898999999999983,-0.00341999999999998,-0.00802000000000014,-0.00571999999999995,-0.00229999999999997,0.0121599999999999,0.0178799999999999,-0.0109600000000001,-0.02312,0.00364,0.01460,-0.00065,-0.00429,-0.00680,-0.00615,0.01810,0.02490,-0.01348,-0.03158,0.00261,0.01609,-0.00347,-0.00608,0.00715,0.01062,0.00249,-0.00466,0.01018,0.00769,-0.00298,-0.01316,-0.00408999999999993,-0.00110999999999994,-0.00990999999999986,-0.00581999999999994,0.00402999999999998,0.0139399999999998,-0.0112000000000001,-0.0152300000000001,-1
24.06.2003 04:00:00.000 GMT+0700,1.15374,1.15801,1.1475,1.15141,1281097.0879,-0.00232999999999994,0.00323000000000007,,-0.00341999999999998,-0.00802000000000014,-0.00571999999999995,-0.00229999999999997,0.0121599999999999,0.0178799999999999,-0.0109600000000001,-0.02312,0.00364000000000009,0.0146000000000002,-0.00065,-0.00429,-0.00680,-0.00615,0.01810,0.02490,-0.01348,-0.03158,0.00261,0.01609,-0.00347,-0.00608,0.00715,0.01062,0.00249,-0.00466,0.01018,0.00769,-0.00298,-0.01316,-0.00409,-0.00111,-0.00990999999999986,-0.00581999999999994,0.00402999999999998,0.0139399999999998,-0.0112000000000001,-0.0152300000000001,-0.00556000000000001,0.00564000000000009,-1
25.06.2003 04:00:00.000 GMT+0700,1.15118,1.16205,1.14897,1.15368,1274772.5917,0.00249999999999995,0.00482999999999989,,-0.00571999999999995,-0.00229999999999997,0.0121599999999999,0.0178799999999999,-0.0109600000000001,-0.02312,0.00364000000000009,0.0146000000000002,-0.000650000000000039,-0.00429000000000013,-0.00680,-0.00615,0.01810,0.02490,-0.01348,-0.03158,0.00261,0.01609,-0.00347,-0.00608,0.00715,0.01062,0.00249,-0.00466,0.01018,0.00769,-0.00298,-0.01316,-0.00409,-0.00111,-0.00991,-0.00582,0.00402999999999998,0.0139399999999998,-0.0112000000000001,-0.0152300000000001,-0.00556000000000001,0.00564000000000009,-0.00232999999999994,0.00323000000000007,1
26.06.2003 04:00:00.000 GMT+0700,1.15379,1.15509,1.14125,1.14151,1269716.2051,-0.0122800000000001,-0.01478,,0.0121599999999999,0.0178799999999999,-0.0109600000000001,-0.02312,0.00364000000000009,0.0146000000000002,-0.000650000000000039,-0.00429000000000013,-0.00679999999999992,-0.00614999999999988,0.01810,0.02490,-0.01348,-0.03158,0.00261,0.01609,-0.00347,-0.00608,0.00715,0.01062,0.00249,-0.00466,0.01018,0.00769,-0.00298,-0.01316,-0.00409,-0.00111,-0.00991,-0.00582,0.00403,0.01394,-0.0112000000000001,-0.0152300000000001,-0.00556000000000001,0.00564000000000009,-0.00232999999999994,0.00323000000000007,0.00249999999999995,0.00482999999999989,-1
27.06.2003 04:00:00.000 GMT+0700,1.14145,1.14665,1.13984,1.14224,1271972.7112,0.000789999999999846,0.0130699999999999,,-0.0109600000000001,-0.02312,0.00364000000000009,0.0146000000000002,-0.000650000000000039,-0.00429000000000013,-0.00679999999999992,-0.00614999999999988,0.0181,0.0248999999999999,-0.01348,-0.03158,0.00261,0.01609,-0.00347,-0.00608,0.00715,0.01062,0.00249,-0.00466,0.01018,0.00769,-0.00298,-0.01316,-0.00409,-0.00111,-0.00991,-0.00582,0.00403,0.01394,-0.01120,-0.01523,-0.00556000000000001,0.00564000000000009,-0.00232999999999994,0.00323000000000007,0.00249999999999995,0.00482999999999989,-0.0122800000000001,-0.01478,1
30.06.2003 04:00:00.000 GMT+0700,1.14238,1.15121,1.13964,1.15086,1279420.6034,0.00848000000000004,0.0076900000000002,,0.00364000000000009,0.0146000000000002,-0.000650000000000039,-0.00429000000000013,-0.00679999999999992,-0.00614999999999988,0.0181,0.0248999999999999,-0.0134799999999999,-0.0315799999999999,0.00261,0.01609,-0.00347,-0.00608,0.00715,0.01062,0.00249,-0.00466,0.01018,0.00769,-0.00298,-0.01316,-0.00409,-0.00111,-0.00991,-0.00582,0.00403,0.01394,-0.01120,-0.01523,-0.00556,0.00564,-0.00232999999999994,0.00323000000000007,0.00249999999999995,0.00482999999999989,-0.0122800000000001,-0.01478,0.000789999999999846,0.0130699999999999,1
01.07.2003 04:00:00.000 GMT+0700,1.15084,1.16069,1.1501,1.15578,1275064.2969,0.00493999999999994,-0.0035400000000001,,-0.000650000000000039,-0.00429000000000013,-0.00679999999999992,-0.00614999999999988,0.0181,0.0248999999999999,-0.0134799999999999,-0.0315799999999999,0.00261,0.0160899999999999,-0.00347,-0.00608,0.00715,0.01062,0.00249,-0.00466,0.01018,0.00769,-0.00298,-0.01316,-0.00409,-0.00111,-0.00991,-0.00582,0.00403,0.01394,-0.01120,-0.01523,-0.00556,0.00564,-0.00233,0.00323,0.00249999999999995,0.00482999999999989,-0.0122800000000001,-0.01478,0.000789999999999846,0.0130699999999999,0.00848000000000004,0.0076900000000002,1
02.07.2003 04:00:00.000 GMT+0700,1.15549,1.15668,1.15035,1.15366,1267163.0001,-0.00183,-0.00676999999999994,,-0.00679999999999992,-0.00614999999999988,0.0181,0.0248999999999999,-0.0134799999999999,-0.0315799999999999,0.00261,0.0160899999999999,-0.00347000000000008,-0.00608000000000009,0.00715,0.01062,0.00249,-0.00466,0.01018,0.00769,-0.00298,-0.01316,-0.00409,-0.00111,-0.00991,-0.00582,0.00403,0.01394,-0.01120,-0.01523,-0.00556,0.00564,-0.00233,0.00323,0.00250,0.00483,-0.0122800000000001,-0.01478,0.000789999999999846,0.0130699999999999,0.00848000000000004,0.0076900000000002,0.00493999999999994,-0.0035400000000001,-1
03.07.2003 04:00:00.000 GMT+0700,1.15345,1.15424,1.14316,1.14915,1276490.7969,-0.00430000000000019,-0.00247000000000019,,0.0181,0.0248999999999999,-0.0134799999999999,-0.0315799999999999,0.00261,0.0160899999999999,-0.00347000000000008,-0.00608000000000009,0.00714999999999999,0.0106200000000001,0.00249,-0.00466,0.01018,0.00769,-0.00298,-0.01316,-0.00409,-0.00111,-0.00991,-0.00582,0.00403,0.01394,-0.01120,-0.01523,-0.00556,0.00564,-0.00233,0.00323,0.00250,0.00483,-0.01228,-0.01478,0.000789999999999846,0.0130699999999999,0.00848000000000004,0.0076900000000002,0.00493999999999994,-0.0035400000000001,-0.00183,-0.00676999999999994,-1
04.07.2003 04:00:00.000 GMT+0700,1.14865,1.14999,1.14462,1.14862,1281812.5058,-2.99999999999745E-05,0.00427000000000022,,-0.0134799999999999,-0.0315799999999999,0.00261,0.0160899999999999,-0.00347000000000008,-0.00608000000000009,0.00714999999999999,0.0106200000000001,0.0024900000000001,-0.00465999999999989,0.01018,0.00769,-0.00298,-0.01316,-0.00409,-0.00111,-0.00991,-0.00582,0.00403,0.01394,-0.01120,-0.01523,-0.00556,0.00564,-0.00233,0.00323,0.00250,0.00483,-0.01228,-0.01478,0.00079,0.01307,0.00848000000000004,0.0076900000000002,0.00493999999999994,-0.0035400000000001,-0.00183,-0.00676999999999994,-0.00430000000000019,-0.00247000000000019,-1
